"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/06/10 6:12:15 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Rarement","Assez souvent","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Rarement","Presque toujours","Parfois"
"2018/06/10 6:29:28 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Parfois","Fréquemment","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Rarement","Parfois","Jamais"
"2018/06/10 6:35:46 PM GMT+1","Une femme","Entre 34 et 41 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Parfois","Rarement","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","Rarement","Jamais"
"2018/06/10 6:59:48 PM GMT+1","Une femme","Entre 34 et 41 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","16h - 20h","50/50","En voiture","Matérielles","","J'était de mauvaise humeur;Facteurs externes (conditions météorologiques, animaux...);Congestion de la route","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt dégradée","Assez souvent","Parfois","Rarement","Parfois","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Rarement","Jamais","Jamais","Parfois","Rarement"
"2018/06/11 5:15:30 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Presque toujours","Parfois","Parfois","Assez souvent","Presque toujours","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Jamais","Parfois","Parfois"
"2018/06/11 1:54:50 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Parfois","Rarement","Jamais","Parfois","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Presque toujours","Presque toujours"
"2018/06/11 2:25:04 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Rarement","Rarement","Assez souvent","Rarement"
"2018/06/11 9:17:13 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Plus de 3 heures","Parfois","Oui","Moins d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation;Facteur lié à l'éclairage","N’a pas changée","Jamais","Jamais","Parfois","Jamais","Assez souvent","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Parfois","Parfois","Jamais"
"2018/06/11 10:44:55 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Rarement","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/06/12 2:29:01 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Fréquemment","Jamais","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Parfois","Parfois","Jamais"
"2018/06/12 5:37:57 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).;Congestion de la route","Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Jamais","Jamais","Fréquemment","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Rarement"
"2018/06/12 6:25:48 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Parfois","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/06/12 6:31:25 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Jamais","Jamais","Jamais"
"2018/06/12 7:13:59 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Rarement","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Jamais","Jamais","Jamais"
"2018/06/12 7:16:11 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Plus de 3 heures","Jamais","Non","","","","","","","","","","Fréquemment","Parfois","Rarement","Parfois","Fréquemment","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Presque toujours","Parfois"
"2018/06/12 8:10:40 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Fréquemment","Parfois","Parfois","Rarement","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Rarement","Jamais","Jamais"
"2018/06/12 8:37:50 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Parfois","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/06/12 11:11:26 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Parfois","Rarement","Jamais","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Parfois","Jamais"
"2018/06/12 11:22:53 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Assez souvent","Rarement","Parfois","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Parfois","Assez souvent","Assez souvent"
"2018/06/12 11:34:29 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Plus de 3 heures","Presque toujours","Non","","","","","","","","","","Presque toujours","Rarement","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","Jamais","Jamais"
"2018/06/13 12:01:07 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Presque toujours","Parfois","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Parfois","Presque toujours"
"2018/06/13 12:45:29 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Jamais","Jamais","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","Parfois","Jamais"
"2018/06/13 12:54:13 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","Parfois","Jamais"
"2018/06/13 2:23:26 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Parfois","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","Parfois","Parfois"
"2018/06/13 3:35:05 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Corporelles;Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Manque de connaissance de la base de conduite;L'ignorance de l'état du véhicule;Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).;Congestion de la route","Facteur lié au marquage au sol;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Jamais","Rarement","Jamais","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Parfois","Rarement","Rarement"
"2018/06/13 9:39:30 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Rarement","Jamais","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Assez souvent","Rarement"
"2018/06/13 10:56:51 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","16h - 20h","Responsable","En voiture","Matérielles","","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Jamais","Assez souvent","Parfois","Fréquemment","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Jamais","Parfois","Parfois","Rarement","Rarement"
"2018/06/13 12:57:45 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Plus d'un an","8h - 12h","50/50","En voiture","Psychologiques;Matérielles","","Facteurs externes (conditions météorologiques, animaux...);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Rarement","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","Parfois","Jamais"
"2018/06/13 5:32:30 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Parfois","Non","","","","","","","","","","Parfois","Jamais","Jamais","Fréquemment","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Rarement","Fréquemment","Fréquemment"
"2018/06/13 7:03:46 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Presque toujours","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).;Congestion de la route","Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Parfois","Parfois","Assez souvent","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Parfois","Rarement","Parfois","Jamais"
"2018/06/14 8:26:13 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Rarement","Parfois","Rarement"
"2018/06/15 2:44:03 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Assez souvent","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Parfois","Assez souvent","Rarement"
"2018/06/17 6:14:34 AM GMT+1","Un homme","Entre 26 et 33 ans","A et C","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Parfois","Rarement","Assez souvent","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Parfois","Parfois","Presque toujours","Rarement"
"2018/06/17 1:36:33 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Parfois","Jamais","Presque toujours","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Assez souvent","Parfois","Jamais"
"2018/06/18 6:16:54 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Assez souvent","Non","","","","","","","","","","Fréquemment","Parfois","Jamais","Fréquemment","Presque toujours","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Parfois","Parfois","Assez souvent","Parfois"
"2018/06/30 5:47:26 PM GMT+1","Une femme","Plus de 42 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Plus d'un an","12h - 16h","Responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","J'était en retard","","S’est plutôt améliorée","Presque toujours","Assez souvent","Jamais","Parfois","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","Presque toujours","Rarement"
"2018/07/07 6:15:21 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","","","Manque de connaissance de la base de conduite","","N’a pas changée","Jamais","Rarement","Parfois","Jamais","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/07/07 6:19:53 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Plus de 3 heures","Rarement","Non","","","","","","","","","","Jamais","Rarement","Parfois","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/10/06 12:00:14 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Rarement","Parfois","Assez souvent","Assez souvent","Fréquemment","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Fréquemment","Assez souvent","Assez souvent","Parfois"
"2018/12/04 12:58:44 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Rarement","Jamais","Rarement","Assez souvent","Jamais","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Assez souvent","Rarement","Jamais"
"2018/12/04 1:42:44 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Assez souvent","Assez souvent","Jamais","Parfois","Jamais","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Parfois","Rarement","Jamais"
"2018/12/04 3:05:50 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Fréquemment","Rarement","Jamais","Rarement","Rarement","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Rarement","Jamais","Jamais"
